# Generated by local stop-line/heading/controller matching; converter refers links are ignored.
vtd_id,autoware_group_id,signal_type,signal_subtype
452,463753,1000020,-1
452,463755,1000020,-1
453,463753,1000008,-1
453,463755,1000008,-1
454,463757,1000020,-1
455,463757,1000008,-1
456,463753,1000012,10
456,463755,1000012,10
457,463757,1000012,-1
458,463743,1000020,-1
458,463745,1000020,-1
459,463743,1000008,-1
459,463745,1000008,-1
460,463747,1000020,-1
461,463747,1000008,-1
462,463743,1000012,10
462,463745,1000012,10
463,463747,1000012,-1
464,463163,1000020,-1
465,463163,1000008,-1
466,463165,1000020,-1
467,463165,1000008,-1
468,463163,1000012,10
469,463165,1000012,-1
473,463917,1000020,-1
473,463919,1000020,-1
473,463921,1000020,-1
474,463917,1000008,-1
474,463919,1000008,-1
474,463921,1000008,-1
475,463917,1000012,10
475,463919,1000012,10
475,463921,1000012,10
476,463917,1000012,-1
476,463919,1000012,-1
476,463921,1000012,-1
480,463923,1000020,-1
480,463925,1000020,-1
480,463927,1000020,-1
481,463923,1000008,-1
481,463925,1000008,-1
481,463927,1000008,-1
482,463923,1000012,-1
482,463925,1000012,-1
482,463927,1000012,-1
483,463959,1000020,-1
484,463959,1000008,-1
487,463959,1000012,10
489,463929,1000020,-1
489,463931,1000020,-1
490,463929,1000008,-1
490,463931,1000008,-1
491,463933,1000020,-1
492,463933,1000008,-1
493,463929,1000012,10
493,463931,1000012,10
494,463933,1000012,-1
495,463939,1000020,-1
496,463939,1000008,-1
499,463939,1000012,10
501,463951,1000020,-1
501,463953,1000020,-1
502,463951,1000008,-1
502,463953,1000008,-1
503,463955,1000020,-1
504,463955,1000008,-1
505,463951,1000012,10
505,463953,1000012,10
506,463955,1000012,-1
510,463897,1000020,-1
510,463899,1000020,-1
511,463897,1000008,-1
511,463899,1000008,-1
512,463897,1000012,-1
512,463899,1000012,-1
513,463893,1000020,-1
513,463895,1000020,-1
514,463893,1000008,-1
514,463895,1000008,-1
517,463893,1000012,10
517,463895,1000012,10
519,463883,1000020,-1
520,463883,1000008,-1
521,463885,1000020,-1
522,463885,1000008,-1
523,463883,1000012,10
524,463885,1000012,-1
525,463871,1000020,-1
526,463871,1000008,-1
527,463873,1000020,-1
528,463873,1000008,-1
529,463871,1000012,10
530,463873,1000012,-1
531,463889,1000020,-1
532,463889,1000008,-1
533,463891,1000020,-1
534,463891,1000008,-1
535,463889,1000012,10
536,463891,1000012,-1
537,463975,1000020,-1
537,463977,1000020,-1
538,463975,1000008,-1
538,463977,1000008,-1
541,463975,1000012,10
541,463977,1000012,10
543,463819,1000020,-1
544,463819,1000008,-1
545,463821,1000020,-1
546,463821,1000008,-1
547,463821,1000012,-1
548,463819,1000012,10
549,463807,1000020,-1
550,463807,1000008,-1
551,463809,1000020,-1
552,463809,1000008,-1
553,463807,1000012,10
554,463809,1000012,-1
555,463837,1000020,-1
556,463837,1000008,-1
557,463839,1000020,-1
558,463839,1000008,-1
559,463837,1000012,10
560,463839,1000012,-1
563,463803,1000020,-1
564,463803,1000008,-1
566,463803,1000012,-1
567,463727,1000020,-1
567,463729,1000020,-1
567,463731,1000020,-1
568,463727,1000008,-1
568,463729,1000008,-1
568,463731,1000008,-1
569,463733,1000020,-1
570,463733,1000008,-1
571,463727,1000012,10
571,463729,1000012,10
571,463731,1000012,10
572,463733,1000012,-1
573,463699,1000020,-1
